Category: All categories

Region,Mindestlohn: (1/1/13 - 1/1/14)
Saxony-Anhalt,100
Saxony,97
Mecklenburg-Vorpommern,97
Brandenburg,89
Thuringia,87
Berlin,70
Lower Saxony,64
Bremen,61
Hamburg,58
Schleswig-Holstein,54
North Rhine-Westphalia,53
Rhineland-Palatinate,52
Saarland,50
Hesse,49
Baden-Württemberg,43
Bavaria,40
