Category: All categories

Region,Mindestlohn: (1/1/14 - 1/1/15)
Mecklenburg-Vorpommern,100
Saxony,99
Saxony-Anhalt,89
Brandenburg,82
Thuringia,81
Berlin,60
Hamburg,53
Schleswig-Holstein,51
Bremen,48
Lower Saxony,48
Saarland,45
Rhineland-Palatinate,45
North Rhine-Westphalia,44
Bavaria,41
Hesse,40
Baden-Württemberg,36
