Category: All categories

Region,Mindestlohn: (1/1/12 - 1/1/13)
Brandenburg,100
Thuringia,99
Mecklenburg-Vorpommern,99
Saxony,87
Bremen,83
Saxony-Anhalt,83
Berlin,68
Schleswig-Holstein,64
Lower Saxony,58
Saarland,58
Rhineland-Palatinate,55
Hamburg,53
Hesse,50
North Rhine-Westphalia,49
Bavaria,47
Baden-Württemberg,41
