Category: All categories

Region,Mindestlohn: (1/1/10 - 1/1/11)
Thuringia,100
Berlin,91
Saxony,90
Saxony-Anhalt,85
Brandenburg,80
Mecklenburg-Vorpommern,70
Bremen,63
Rhineland-Palatinate,54
North Rhine-Westphalia,54
Schleswig-Holstein,53
Lower Saxony,50
Bavaria,45
Hamburg,41
Baden-Württemberg,32
Saarland,32
Hesse,25
