Category: All categories

Region,Mindestlohn: (1/1/11 - 1/1/12)
Brandenburg,100
Mecklenburg-Vorpommern,90
Thuringia,86
Saxony,83
Saxony-Anhalt,68
Berlin,62
Bremen,56
Schleswig-Holstein,54
Lower Saxony,50
Hesse,46
Rhineland-Palatinate,46
Hamburg,45
Saarland,45
North Rhine-Westphalia,43
Bavaria,39
Baden-Württemberg,37
