"","Federal.State","Year","wage.mean","female.perc","good.health.perc","unemp.perc","mean.age","mean.askingwage","Bite","Trend.perc"
"1","Bavaria",2010,17.7578977276896,0.52108649035025,0.782819535850364,0.0520500859317456,50.0757684060043,1092.14888337469,2.08916443855172,45
"2","Bavaria",2011,18.5299220970675,0.5481134181737,0.760841836734694,0.0413038624693012,51.4953473945409,1173.02215189873,2.17999083494911,39
"3","Bavaria",2012,18.5441632324254,0.5302470888952,0.783349721402819,0.0395364689843217,51.6136434108527,1232.24755700326,2.18166626263828,47
"4","Bavaria",2013,18.1478506559472,0.533466533466533,0.775703618609994,0.0510785510785511,51.9089996654399,1273.95939086294,2.13504125364085,40
"5","Bavaria",2014,18.9254572460082,0.542217245240761,0.772370999346832,0.0436827956989247,48.8006279434851,1289.29765886288,2.22652438188332,41
"6","Bavaria",2015,19.3343895906059,0.544585987261146,0.786252045826514,0.043155765340526,48.3417442430181,1408.84353741497,2.27463406948305,57
"7","Berlin",2010,16.7045924622742,0.542420027816412,0.708333333333333,0.134730538922156,50.9596662030598,1279.90196078431,1.96524617203226,91
"8","Berlin",2011,17.1809450928616,0.568513119533528,0.745376955903272,0.110787172011662,52.0997474747475,1327.79411764706,2.02128765798372,62
"9","Berlin",2012,17.8538939147207,0.542087542087542,0.712464589235127,0.105513307984791,51.6699029126214,1275.29545454545,2.1004581076142,68
"10","Berlin",2013,17.318927673,0.528205128205128,0.705454545454545,0.127533783783784,52.4190231362468,1316.95906432749,2.03752090270588,70
"11","Berlin",2014,18.3087839357239,0.546906187624751,0.721815519765739,0.0968063872255489,50.1160714285714,1317.52136752137,2.1539745806734,60
"12","Berlin",2015,18.2359648786967,0.541214750542299,0.707246376811594,0.107676969092722,49.2136659436009,1484.62264150943,2.14540763278784,58
"13","Brandenburg",2010,14.9022869541384,0.51828499369483,0.724186704384724,0.132507149666349,53.1475409836066,1189.91379310345,1.75321022989863,80
"14","Brandenburg",2011,14.2281554984364,0.546551724137931,0.71038961038961,0.135344827586207,53.5401785714286,1252.66666666667,1.67390064687487,100
"15","Brandenburg",2012,14.3241122813056,0.525974025974026,0.708115183246073,0.142600896860987,54.5871559633027,1203.00751879699,1.6851896801536,100
"16","Brandenburg",2013,14.2080239079957,0.521847690387016,0.690885072655218,0.137598597721297,55.8853904282116,1191.85483870968,1.67153222447008,89
"17","Brandenburg",2014,15.2052325485219,0.543269230769231,0.694767441860465,0.123195380173244,52.7193347193347,1183.5,1.78885088806139,82
"18","Brandenburg",2015,16.2887418787778,0.552657973921765,0.661742983751846,0.111545988258317,52.6188565697091,1152.17391304348,1.91632257397385,95
"19","Bremen",2010,18.6566815501295,0.540740740740741,0.732394366197183,0.105527638190955,51.637037037037,1287.87878787879,2.19490371177995,63
"20","Bremen",2011,15.8432030767202,0.56701030927835,0.738805970149254,0.11340206185567,49.7404580152672,1514.81481481481,1.86390624432002,56
"21","Bremen",2012,17.799315980276,0.554838709677419,0.781456953642384,0.11,49.8308823529412,1276.92307692308,2.09403717415011,83
"22","Bremen",2013,16.4191832506363,0.532258064516129,0.75609756097561,0.17004048582996,51.650406504065,1430.2,1.93166861772192,61
"23","Bremen",2014,16.4161881988394,0.570776255707763,0.75,0.132420091324201,47.6941176470588,1516.17647058824,1.93131625868699,48
"24","Bremen",2015,16.1453878889618,0.579545454545455,0.75,0.157068062827225,45.6988636363636,1404.6875,1.89945739870139,56
"25","Hamburg",2010,19.2800376504253,0.528052805280528,0.81,0.0617577197149644,50.4059405940594,1170.73170731707,2.26823972357944,41
"26","Hamburg",2011,19.3747428194617,0.555555555555556,0.824281150159744,0.0430839002267574,51.860248447205,1587.14285714286,2.27938150817196,45
"27","Hamburg",2012,19.7041932035566,0.540322580645161,0.789634146341463,0.0532150776053215,51.9884726224784,1337.4358974359,2.31814037688901,53
"28","Hamburg",2013,17.0976004859303,0.526479750778816,0.783599088838269,0.0749128919860627,52.7398119122257,1155.26315789474,2.01148241010944,58
"29","Hamburg",2014,19.784130617634,0.542669584245077,0.793313069908815,0.0460526315789474,50.2684931506849,1420,2.32754477854517,53
"30","Hamburg",2015,21.1898491977305,0.54233409610984,0.808571428571429,0.0506329113924051,49.2219679633867,1447.14285714286,2.49292343502712,56
"31","Lower-Saxon",2010,17.1061755890359,0.527003979533826,0.753183747725894,0.0781187724192905,51.5355315520182,1088.20717131474,2.01249124576892,50
"32","Lower-Saxon",2011,17.6136468701047,0.549012299664555,0.747782705099778,0.0667163622810287,51.8329907502569,1165.46530612245,2.07219374942408,50
"33","Lower-Saxon",2012,17.3580529567224,0.529158699808795,0.737714285714286,0.0696250956388676,52.2814621409922,1204.49775784753,2.04212387726145,58
"34","Lower-Saxon",2013,16.8726524177976,0.530544854155201,0.743223262690981,0.0891763104152485,52.4911308203991,1211.37323943662,1.9850179315056,64
"35","Lower-Saxon",2014,17.3990202394962,0.535376466136966,0.738933030646992,0.0787282361847086,48.977479428324,1237.5,2.04694355758778,48
"36","Lower-Saxon",2015,17.8876408752315,0.540253371475276,0.764640267707752,0.0780894617134193,48.1234164282795,1241.77272727273,2.10442833826253,63
"37","Mecklenburg",2010,13.5637294193568,0.528421052631579,0.719817767653758,0.164869029275809,51.8168421052632,1063.41463414634,1.59573287286551,70
"38","Mecklenburg",2011,13.7810311322674,0.552552552552553,0.704225352112676,0.166666666666667,51.4030710172745,1131.47727272727,1.62129778026676,90
"39","Mecklenburg",2012,13.2121432139196,0.526217228464419,0.720554272517321,0.143076923076923,52.6232741617357,1132.04545454545,1.5543697898729,99
